Metric,N_Taxa,Mean,Standard_Deviation,Minimum,Q1,Median,Q3,Maximum,IQR
Mean_Observed_Depth_m,101,311.440396,564.194618,0.4991,14.9965,51.1429,402.1956,3961.5106,387.1991
Mean_Body_Length_cm,101,275.020938,411.949256,1.2455,30.0231,139.898,348.9233,2494.8622,318.9002
Mean_Body_Weight_kg,101,3880.392917,18946.852411,0.001,0.7045,21.9942,379.4809,150464.2283,378.7764
Mean_Estimated_Age_yr,101,16.337877,16.926857,0.5039,4.9816,10.1713,20.107,99.5704,15.1254
Mean_Water_Temp_C,101,15.617744,8.774044,0.9756,5.7128,20.887,23.9672,24.112,18.2544
Mean_Salinity_ppt,101,29.848787,22.66886,0.2457,34.9553,34.9905,35.0141,209.6956,0.0588
Mean_pH,101,7.838129,0.255441,7.2398,7.9408,7.946,7.9529,7.9628,0.0121
Location_Count,101,4.722772,1.132421,1.0,4.0,5.0,6.0,6.0,2.0
