Metric,Threatened_N,Other_N,Threatened_Median,Other_Median,Mann_Whitney_U,P_Value,Rank_Biserial_Correlation,Adjusted_P_Value,Significant_FDR_0_05
Mean_Observed_Depth_m,30,71,50.527,98.6678,1093.0,0.8380583839674067,0.026291079812206464,0.9496264536220747,False
Mean_Body_Length_cm,30,71,249.1415,74.938,1470.0,0.002645265653408195,0.380281690140845,0.0061722865246191215,True
Mean_Body_Weight_kg,30,71,390.2836,2.5023,1639.0,2.023762095392772e-05,0.5389671361502348,0.00014166334667749405,True
Mean_Estimated_Age_yr,30,71,19.853949999999998,7.511,1569.0,0.00018258388604860682,0.47323943661971835,0.0006390436011701238,True
Mean_Water_Temp_C,30,71,21.0232,20.8538,1238.0,0.19984077230664998,0.1624413145539907,0.27977708122931,False
Mean_Salinity_ppt,30,71,34.9994,34.9871,1250.5,0.16915491503154556,0.17417840375586846,0.27977708122931,False
Mean_pH,30,71,7.94605,7.946,1056.0,0.9496264536220747,-0.008450704225352101,0.9496264536220747,False
